# n    , El Schur, El TriangEig, El Gemm  , El Total, GEHRD   , UNGHR    , HSEQR  , TREVC   , LAPACK Total, GEEV
1000 , 1.7657  , 0.0900106   , 0.0156689, 1.87167 , 0.184318, 0.0419118, 1.27267, 0.693618, 2.19274     , 2.20989
2000 , 11.5453 ,  0.390152   , 0.119401 , 12.0551 , 5.89679 , 0.460492 , 5.54484, 12.3844 , 24.2868     , 20.6137
4000 , 68.203  , 1.76944     , 0.764052 , 70.7369 , 42.5401 , 3.80765  , 21.8657, 69.6338 , 137.848     , 156.185
8000 , 471.636 , 9.04896     , 7.07657  , 487.762 , 276.136 , 24.261   , 104.627, 701.555 , 1106.58     , 1055.05
16000, 2738.03 , 49.998      , 49.3348  , 2837.36 , 2088.55 , 169.281  , 479.886, 4911.62 , 7649.34     , 7716.6
32000, 19761.1 , 256.485     , 378.948  , 20396.5 , 15911.8 , 1333.06  , 2764.18, 39503.8 , 59512.8     , 57264.8
